settlement_date,settlement_period,fuel_type,generation_mw,start_time,publish_time,gas_day,ingested_at,updated_at
2026-07-06,46,OTHER,456,2026-07-06T21:30:00Z,2026-07-06T22:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,46,PS,530,2026-07-06T21:30:00Z,2026-07-06T22:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,46,WIND,8110,2026-07-06T21:30:00Z,2026-07-06T22:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,BIOMASS,2029,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,CCGT,7799,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,COAL,0,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,INTELEC,672,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,INTEW,-532,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,INTFR,1356,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,INTGRNL,0,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,INTIFA2,436,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,INTIRL,-454,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,INTNED,116,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,INTNEM,-572,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,INTNSL,1398,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,INTVKL,1426,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,NPSHYD,375,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,NUCLEAR,3001,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,OCGT,55,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,OIL,0,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,OTHER,761,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,PS,734,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,45,WIND,8186,2026-07-06T21:00:00Z,2026-07-06T21:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,BIOMASS,2030,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,CCGT,7917,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,COAL,0,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,INTELEC,638,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,INTEW,-532,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,INTFR,1256,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
